# postcodes.txt
#
# This file is distributed as part of FindMyNearest. It contains
# calculated mean locations for GB postcode areas, districts and
# sectors.
#
# These data are derived from the Ordnance Survey Code Point Open
# data and are made availabe under the Creative Commons 
# Attribution 3.0 licence, see
# http://creativecommons.org/licenses/by/3.0/
#
# Any derivitive work must retain the following attribution
#
# Contains Ordnance Survey data (c) Crown copyright and 
# database right 2010
#
# Contains Royal Mail data (c) Royal Mail copyright and 
# database right 2010
#
# postcode	eastings	northings
DY14	368415	275956
DY2 0	393734	288007
DY2 7	395360	290075
DY2 8	394660	289420
DY2 9	394779	287804
DY2	394553	288736
DY3 1	392292	293404
DY3 2	391514	291299
DY3 3	391147	293307
DY3 4	387209	291474
DY3	391270	292534
DY4 0	396886	293711
DY4 4	397169	292227
DY4 7	397084	291955
DY4 8	395653	292040
DY4 9	395562	293309
DY4	396356	292766
DY5 1	392417	287342
DY5 2	392144	285804
DY5 3	391118	286658
DY5 4	391060	289011
DY5	391691	286954
DY6 0	387590	289675
DY6 7	389316	289703
DY6 8	389582	288294
DY6 9	388342	288680
DY6	388895	288952
DY7 5	383608	287320
DY7 6	385495	283802
DY7	384652	285374
DY8 1	390214	284112
DY8 2	390000	282712
DY8 3	389021	283804
DY8 4	389630	285407
DY8 5	389004	286746
DY8	389518	284767
DY9 0	390815	280585
DY9 7	391507	283965
DY9 8	392551	284324
DY9 9	392561	280458
DY9	391739	281871
DY	387823	283961
E1 0	535450	181202
E1 1	534421	181404
E1 2	534832	181345
E1 3	535368	181716
E1 4	535678	182183
E1 5	534455	181994
E1 6	533755	181934
E1 7	533723	181534
E1 8	534229	181151
E1	534757	181635
E10 5	537825	186985
E10 6	538261	187655
E10 7	537115	187469
E10	537757	187351
E11 1	539309	187894
E11 2	540479	188308
E11 3	539682	186693
E11 4	539014	186646
E11	539636	187423
E12 5	542329	186039
E12 6	542498	185105
E12	542420	185533
E13 0	540386	183314
E13 8	540542	182409
E13 9	541087	183138
E13	540637	182937
E14 0	538214	181117
E14 1	536963	181197
E14 2	538498	180859
E14 3	537942	178960
E14 4	537277	180457
E14 5	537485	180533
E14 6	537654	181384
E14 7	536622	181335
E14 8	536960	180314
E14 9	537807	179861
E14	537526	180437
E15 1	539022	184948
E15 2	538404	184200
E15 3	539448	183464
E15 4	539340	184332
E15	539066	184293
E16 1	540100	181010
E16 2	542551	180173
E16 3	540928	181338
E16 4	539629	182005
E16	540770	181116
E17 0	537424	189293
E17 3	538193	189512
E17 4	537893	190134
E17 5	536680	190389
E17 6	536439	189541
E17 7	536552	188866
E17 8	536876	188185
E17 9	537883	188880
E17	537255	189397
E18 1	540740	190100
E18 2	540086	190185
E18	540369	190148
E1W 1	534134	180441
E1W 2	534691	180389
E1W 3	535264	180732
E1W	534782	180546
E2 0	535243	182820
E2 6	534374	182665
E2 7	533902	182779
E2 8	533854	183323
E2 9	534948	183236
E2	534481	182959
E3 2	537094	183380
E3 3	537719	182491
E3 4	536955	182294
E3 5	536455	183284
E3	537026	182911
E4 6	538751	193730
E4 7	538363	194835
E4 8	537298	192770
E4 9	538312	192290
E4	538216	193415
E5 0	535598	185810
E5 8	534639	186062
E5 9	534869	186889
E5	535015	186266
E6 1	541935	183779
E6 2	542911	183841
E6 3	542261	182796
E6 5	542593	181580
E6 6	543212	182421
E6 7	544316	181517
E6 9	542794	182982
E6	542601	182845
E7 0	540628	185572
E7 8	541166	184718
E7 9	540255	185002
E7	540668	185101
E77 1	534081	181214
E77	534081	181214
E8 1	534610	184788
E8 2	533976	185162
E8 3	534216	184380
E8 4	534066	183876
E8 9	534648	183420
E8	534220	184478
E9 5	536437	184880
E9 6	535431	184861
E9 7	535399	184063
E9	535792	184615
E98 1	534427	180564
E98	534427	180564
E	537784	184790
EC1A 1	531080	182301
EC1A 2	531664	181497
EC1A 4	531952	181808
EC1A 7	531931	181670
EC1A 9	531762	181729
EC1A	531520	181952
EC1M 3	531443	181939
EC1M 4	531735	182010
EC1M 5	531681	182043
EC1M 6	531801	181889
EC1M 7	531865	182164
EC1M	531720	181983
EC1N 2	531269	181645
EC1N 6	531442	181661
EC1N 7	531190	181874
EC1N 8	531344	181883
EC1N	531292	181831
EC1P 1	531070	182310
EC1P	531070	182310
EC1R 0	531474	182311
EC1R 1	531303	182846
EC1R 3	531298	182219
EC1R 4	531233	182440
EC1R 5	531175	182107
EC1R	531319	182357
EC1V 0	531802	182389
EC1V 1	531945	182960
EC1V 2	532178	182764
EC1V 3	532095	182497
EC1V 4	531658	182417
EC1V 7	531738	182691
EC1V 8	532132	182718
EC1V 9	532391	182448
EC1V	531997	182550
EC1Y 0	532151	182174
EC1Y 1	532603	182302
EC1Y 2	532653	182211
EC1Y 4	532522	181969
EC1Y 8	532388	182223
EC1Y	532370	182192
EC2A 1	531709	182170
EC2A 2	532880	182030
EC2A 3	533064	182417
EC2A 4	532944	182293
EC2A	532746	182263
EC2M 1	532599	181710
EC2M 2	532677	181874
EC2M 3	532931	181809
EC2M 4	532947	181701
EC2M 5	532562	181658
EC2M 6	532296	181843
EC2M 7	532928	181648
EC2M	532768	181737
EC2N 1	532722	181485
EC2N 2	532900	181376
EC2N 3	532568	181524
EC2N 4	532837	181471
EC2N	532777	181452
EC2P 2	531142	182282
EC2P	531142	182282
EC2R 5	532341	181620
EC2R 6	532219	181671
EC2R 7	532531	181485
EC2R 8	532383	181382
EC2R	532375	181520
EC2V 5	532296	181572
EC2V 6	532242	181282
EC2V 7	532220	181498
EC2V 8	532354	181299
EC2V	532261	181433
EC2Y 5	532248	181640
EC2Y 8	532190	181875
EC2Y 9	532483	181837
EC2Y	532279	181806
EC3A 1	533259	181116
EC3A 2	533093	181249
EC3A 3	532629	181536
EC3A 4	533279	181165
EC3A 5	533403	181218
EC3A 6	532866	181464
EC3A 7	533207	181443
EC3A 8	533198	181320
EC3A	533165	181359
EC3M 1	532952	180883
EC3M 2	533316	181102
EC3M 3	532948	181079
EC3M 4	533281	181095
EC3M 5	533105	181159
EC3M 6	532857	181119
EC3M 7	532962	181148
EC3M 8	533065	180875
EC3M	533049	181065
EC3N 1	533581	181099
EC3N 2	533488	180997
EC3N 3	533465	180986
EC3N 4	533055	181080
EC3N	533399	181054
EC3P 3	531226	182229
EC3P	531226	182229
EC3R 5	533271	180718
EC3R 6	532726	180939
EC3R 7	533307	180859
EC3R 8	532790	180940
EC3R	532968	180887
EC3V 0	533001	180980
EC3V 1	533078	181052
EC3V 3	532827	181169
EC3V 4	533093	181156
EC3V 9	532555	181250
EC3V	532820	181131
EC4A 1	531233	181404
EC4A 2	531317	181257
EC4A 3	531375	181434
EC4A 4	531417	181680
EC4A	531325	181429
EC4M 5	532293	181053
EC4M 6	532229	181013
EC4M 7	531759	181286
EC4M 8	531917	181227
EC4M 9	532344	181089
EC4M	531948	181211
EC4N 1	532292	181246
EC4N 4	532492	181036
EC4N 5	532442	181125
EC4N 6	532365	181120
EC4N 7	532459	181208
EC4N 8	532284	181330
EC4N	532402	181175
EC4P 4	531070	182310
EC4P	531070	182310
EC4R 0	532646	180883
EC4R 1	532328	180977
EC4R 2	532547	180864
EC4R 3	532472	180870
EC4R 9	532632	180947
EC4R	532546	180906
EC4V 2	532358	180926
EC4V 3	532050	180924
EC4V 4	531973	180946
EC4V 5	531813	181145
EC4V 6	531615	181210
EC4V	531889	181054
EC4Y 0	531421	181031
EC4Y 1	531330	181263
EC4Y 7	531251	181068
EC4Y 8	531463	181191
EC4Y 9	531143	180962
EC4Y	531322	181100
EC50 1	531070	182310
EC50 3	531070	182310
EC50 4	531070	182310
EC50 9	531070	182310
EC50	531070	182310
EC	532062	181833
EH1 1	325938	673675
EH1 2	325292	673484
EH1 3	325938	674385
EH1	325738	673815
EH10 4	324603	671791
EH10 5	323984	670816
EH10 6	324573	669554
EH10 7	324601	668125
EH10 9	324570	671310
EH10	324407	670332
EH11 1	323513	672138
EH11 2	323363	672615
EH11 3	321024	671645
EH11 4	319832	670813
EH11	321923	671803
EH12 0	316634	673906
EH12 1	323107	672938
EH12 5	322761	673029
EH12 6	321577	673369
EH12 7	320050	672411
EH12 8	319063	673380
EH12 9	319029	672094
EH12	320536	672919
EH13 0	321498	668786
EH13 9	323328	668998
EH13	322398	668890
EH14 1	322467	670964
EH14 2	320768	670407
EH14 3	319959	669459
EH14 4	318034	669738
EH14 5	318419	668121
EH14 6	318513	667472
EH14 7	316188	666221
EH14 9	322793	671799
EH14	319804	669232
EH15 1	330096	673570
EH15 2	331431	673344
EH15 3	330365	672460
EH15 9	330650	673737
EH15	330623	673149
EH16 4	329408	671371
EH16 5	327482	671334
EH16 6	327444	669275
EH16 9	327889	671142
EH16	327933	670535
EH17 7	329031	669399
EH17 8	328278	668193
EH17	328631	668758
EH18 1	329862	665377
EH18	329862	665377
EH19 2	330603	665283
EH19 3	331194	664772
EH19 9	331002	665058
EH19	330955	664980
EH2 1	325481	674190
EH2 2	325589	674084
EH2 3	325123	674009
EH2 4	324933	673919
EH2 9	326635	674777
EH2	325295	674053
EH20 9	327704	665653
EH20	327704	665653
EH21 6	333660	672395
EH21 7	334991	672544
EH21 8	335886	671707
EH21 9	334648	672793
EH21	334758	672243
EH22 1	332221	668300
EH22 2	334823	667279
EH22 3	332463	666445
EH22 4	333788	664747
EH22 5	335054	664776
EH22 9	333121	667109
EH22	333740	666222
EH23 4	334252	661129
EH23	334252	661129
EH24 9	328926	662382
EH24	328926	662382
EH25 9	326548	663553
EH25	326548	663553
EH26 0	323802	661687
EH26 6	323488	660108
EH26 8	323944	660042
EH26 9	321919	659813
EH26	323388	660639
EH27 8	311511	667239
EH27	311511	667239
EH28 8	313014	671634
EH28	313014	671634
EH29 9	312653	674591
EH29	312653	674591
EH3 5	324892	675155
EH3 6	325207	674457
EH3 7	324566	673799
EH3 8	324674	673357
EH3 9	325017	673024
EH3	324939	674041
EH30 9	313258	677831
EH30	313258	677831
EH31 2	348867	683048
EH31	348867	683048
EH32 0	342539	676472
EH32 2	338714	674467
EH32 9	338944	674230
EH32	340762	675365
EH33 1	341542	672926
EH33 2	340574	672043
EH33 9	340542	672754
EH33	341031	672462
EH34 5	344940	668800
EH34	344940	668800
EH35 5	341107	669044
EH35	341107	669044
EH36 5	346607	662804
EH36	346607	662804
EH37 5	340025	663542
EH37	340025	663542
EH38 5	339828	655155
EH38	339828	655155
EH39 4	355016	685095
EH39 5	353524	682570
EH39 9	355088	685291
EH39	354395	684045
EH4 1	324012	674674
EH4 2	322569	674974
EH4 3	322451	674271
EH4 4	321956	676058
EH4 5	320991	675699
EH4 6	319020	675791
EH4 7	319849	674539
EH4 8	318533	674686
EH4	321386	675084
EH40 3	359009	677656
EH40	359009	677656
EH41 3	351107	674135
EH41 4	352358	671942
EH41 9	351319	673832
EH41	351686	673125
EH42 1	367304	678031
EH42	367304	678031
EH43 6	336396	637160
EH43	336396	637160
EH44 6	333057	636711
EH44	333057	636711
EH45 6	325352	640461
EH45 8	324718	641540
EH45 9	325774	639425
EH45	325125	640727
EH46 7	314994	650291
EH46	314994	650291
EH47 0	294507	664905
EH47 7	298949	665871
EH47 8	295943	663693
EH47 9	293321	660735
EH47	295898	664086
EH48 1	298656	668549
EH48 2	296107	668083
EH48 3	292651	668464
EH48 4	297363	669984
EH48	296047	668620
EH49 6	300249	676524
EH49 7	300362	677568
EH49	300307	677060
EH5 1	323378	676798
EH5 2	323509	676282
EH5 3	324838	676484
EH5 9	326635	674777
EH5	323951	676519
EH51 0	299192	680817
EH51 9	300594	681084
EH51	299996	680970
EH52 5	307606	671905
EH52 6	306939	673103
EH52 9	298262	666930
EH52	307216	672562
EH53 0	307799	667712
EH53	307799	667712
EH54 0	305012	667142
EH54 5	306427	668655
EH54 6	305006	667385
EH54 7	303853	666974
EH54 8	303250	668958
EH54 9	305383	665027
EH54	304760	667611
EH55 8	301467	662648
EH55	301467	662648
EH6 4	325865	676562
EH6 5	326460	675777
EH6 6	326772	676501
EH6 7	327686	675962
EH6 8	327173	675441
EH6	326730	676063
EH7 4	325926	675145
EH7 5	326899	674639
EH7 6	328613	674712
EH7 9	326196	673837
EH7	327295	674767
EH8 7	328744	673751
EH8 8	326775	673998
EH8 9	326253	672979
EH8	327405	673499
EH9 1	325843	672204
EH9 2	326027	671627
EH9 3	326430	670972
EH9	326027	671753
EH91 5	318535	670774
EH91	318535	670774
EH95 1	321876	676891
EH95	321876	676891
EH99 1	326667	674464
EH99	326667	674464
EH	323335	670801
EN1 1	533859	195987
EN1 2	533246	195461
EN1 3	533459	197166
EN1 4	534426	198339
EN1 9	533105	196576
EN1	533697	196785
EN10 6	536740	205478
EN10 7	536522	207209
EN10	536638	206289
EN11 0	538103	209463
EN11 1	537417	208666
EN11 8	537151	208669
EN11 9	537255	210045
EN11	537488	209306
EN2 0	532545	197825
EN2 6	532654	196523
EN2 7	531122	196516
EN2 8	531431	197616
EN2 9	532351	199120
EN2	531946	197387
EN3 4	535345	195793
EN3 5	535477	197828
EN3 6	536425	198887
EN3 7	535969	196905
EN3	535862	197522
EN4 0	527232	197289
EN4 8	527343	195153
EN4 9	527272	196235
EN4	527292	196039
EN5 1	526139	195617
EN5 2	524326	195686
EN5 3	522790	195785
EN5 4	524210	197072
EN5 5	525453	196472
EN5 9	526643	195410
EN5	524912	196076
EN6 1	525582	201887
EN6 2	525115	200889
EN6 3	523337	201341
EN6 4	529483	202840
EN6 5	526421	201141
EN6 9	525180	201529
EN6	526042	201651
EN7 5	533437	202373
EN7 6	533632	203710
EN7	533554	203176
EN8 0	535845	203416
EN8 1	536159	200358
EN8 7	536482	200527
EN8 8	535833	201203
EN8 9	535808	202494
EN8	535991	201831
EN9 1	538422	200497
EN9 2	539619	205137
EN9 3	539898	200376
EN9	539313	201596
EN	532526	200007
EX1 1	292296	92577
EX1 2	293374	92865
EX1 3	295421	93276
EX1 9	292625	92927
EX1	293719	92957
EX10 0	310492	90146
EX10 1	312179	87920
EX10 8	312440	87613
EX10 9	312815	89234
EX10	312046	88888
EX11 1	309156	94927
EX11	309156	94927
EX12 2	324300	90605
EX12 3	321880	89324
EX12 4	326113	91132
EX12	323682	90245
EX13 5	330653	98528
EX13 7	327393	100484
EX13 8	328236	95008
EX13 9	329778	98507
EX13	329045	99077
EX14 1	316047	100550
EX14 2	315996	99939
EX14 3	311004	100949
EX14 4	315027	106222
EX14 9	321495	104270
EX14	316204	102297
EX15 1	301749	107226
EX15 2	305419	108139
EX15 3	310677	113161
EX15 9	292656	92951
EX15	305844	109464
EX16 0	295650	112542
EX16 4	297038	112362
EX16 5	294858	112475
EX16 6	295993	113199
EX16 7	301890	116081
EX16 8	286512	113144
EX16 9	293944	121551
EX16	295217	114726
EX17 1	285135	100707
EX17 2	282921	100573
EX17 3	283187	99903
EX17 4	283150	106482
EX17 5	275971	100251
EX17 6	273507	105181
EX17 9	284012	100248
EX17	280057	102745
EX18 7	267335	113100
EX18	267335	113100
EX19 8	259033	110576
EX19	259033	110576
EX2 4	292728	91980
EX2 5	294536	91913
EX2 6	293891	90967
EX2 7	295404	91089
EX2 8	291973	90696
EX2 9	290605	90679
EX2	293017	91209
EX20 1	259303	95270
EX20 2	265622	97675
EX20 3	254156	103424
EX20 4	248927	88659
EX20 9	292656	92951
EX20	257693	96609
EX21 5	244458	103010
EX21	244458	103010
EX22 6	232200	101430
EX22 7	234446	110193
EX22 9	234131	103833
EX22	233325	105794
EX23 0	219519	99571
EX23 3	220829	106605
EX23 8	221192	106440
EX23 9	223636	109488
EX23	221654	105795
EX24 6	323213	93969
EX24	323213	93969
EX3 0	297012	88281
EX3	297012	88281
EX31 1	255557	133638
EX31 2	253745	132473
EX31 3	252855	130378
EX31 4	259337	138936
EX31	255464	133933
EX32 0	260467	130308
EX32 2	255798	133270
EX32 7	259444	133912
EX32 8	256834	132908
EX32 9	256722	132246
EX32	258465	132269
EX33 1	246948	137905
EX33 2	249244	136617
EX33	247991	137320
EX34 0	258552	146428
EX34 7	246649	144327
EX34 8	251439	146367
EX34 9	252740	147416
EX34	253067	146491
EX35 6	272403	148796
EX35	272403	148796
EX36 3	274350	127731
EX36 4	274240	123694
EX36 9	271380	125858
EX36	274285	125626
EX37 9	263012	121739
EX37	263012	121739
EX38 7	251015	119651
EX38 8	247421	117275
EX38	248890	118246
EX39 1	244864	129456
EX39 2	245125	126990
EX39 3	244476	126814
EX39 4	247014	127096
EX39 5	239115	122653
EX39 6	225403	123316
EX39 9	245575	127260
EX39	242605	126387
EX4 0	296317	96915
EX4 1	290745	92056
EX4 2	289753	93380
EX4 3	291898	92658
EX4 4	291724	93572
EX4 5	292395	94813
EX4 6	292710	93546
EX4 7	293549	93792
EX4 8	295090	93997
EX4 9	294826	94646
EX4	292334	93500
EX5 1	300206	88682
EX5 2	303190	95031
EX5 3	299010	97506
EX5 4	296583	101728
EX5 5	290992	99868
EX5	298611	96266
EX6 6	277647	93215
EX6 7	285264	87093
EX6 8	295592	83956
EX6	287338	87376
EX7 0	296148	77352
EX7 9	295802	76670
EX7	295967	76996
EX8 1	300099	81053
EX8 2	301346	81024
EX8 3	300658	82266
EX8 4	301671	82530
EX8 5	300784	83558
EX8	300940	82059
EX9 6	306220	82257
EX9 7	306968	84611
EX9	306462	83019
EX	281983	105020
FK1 1	289033	679847
FK1 2	290072	676100
FK1 3	285557	672945
FK1 4	286528	680295
FK1 5	287876	679433
FK1 9	288544	680218
FK1	288153	678427
FK10 1	288607	692666
FK10 2	286998	694270
FK10 3	289635	694235
FK10 4	292491	689592
FK10 9	288507	693028
FK10	289202	692899
FK11 7	285061	696788
FK11	285061	696788
FK12 5	288175	697001
FK12	288175	697001
FK13 6	292005	696837
FK13	292005	696837
FK14 7	297233	698372
FK14	297233	698372
FK15 0	279078	702268
FK15 5	278090	700395
FK15 9	279124	703448
FK15	279097	702882
FK16 6	272148	701721
FK16	272148	701721
FK17 8	262498	707504
FK17	262498	707504
FK18 8	256068	717130
FK18	256068	717130
FK19 8	257209	722255
FK19	257209	722255
FK2 0	293199	677764
FK2 7	288693	681385
FK2 8	289111	684467
FK2 9	290882	679606
FK2	290664	680459
FK20 8	237187	726810
FK20	237187	726810
FK21 8	257088	732801
FK21	257088	732801
FK3 0	293072	680444
FK3 3	292582	682072
FK3 8	292317	681224
FK3 9	293484	681394
FK3	292820	681105
FK4 1	280815	680088
FK4 2	281939	679367
FK4	281148	679874
FK5 3	286500	682294
FK5 4	286620	683288
FK5	286585	682999
FK6 5	280383	682049
FK6 6	280948	683190
FK6 9	281121	682748
FK6	280673	682617
FK7 0	280019	690918
FK7 1	280203	692947
FK7 7	282183	691581
FK7 8	281796	689074
FK7 9	278492	691655
FK7	280771	691001
FK8 1	279501	694164
FK8 2	279409	692839
FK8 3	260391	697454
FK8	272020	695103
FK9 4	278776	696983
FK9 5	280239	695353
FK9	279381	696309
FK	284337	688757
FY0 1	333634	429165
FY0	333634	429165
FY1 1	330761	436430
FY1 2	330986	437300
FY1 3	331345	436603
FY1 4	331210	435899
FY1 5	331220	435277
FY1 6	331342	434562
FY1 9	330787	436345
FY1	331151	435962
FY2 0	332141	439363
FY2 9	331086	439281
FY2	331675	439327
FY3 0	334694	436541
FY3 7	332910	437704
FY3 8	332526	436790
FY3 9	332729	435279
FY3	332887	436580
FY4 1	330766	432937
FY4 2	331506	432731
FY4 3	332029	433247
FY4 4	333314	434151
FY4 5	333550	432767
FY4	332300	433244
FY5 1	331503	442643
FY5 2	332643	443400
FY5 3	332344	441876
FY5 4	333964	442877
FY5 5	334422	441873
FY5	332859	442582
FY6 0	336338	447383
FY6 6	335442	439530
FY6 7	334521	439683
FY6 8	335607	438528
FY6 9	337225	442585
FY6	335524	441727
FY7 6	333479	447832
FY7 7	332533	447208
FY7 8	331831	446457
FY7	332591	447138
FY8 1	332942	428371
FY8 2	331897	429732
FY8 3	333383	429619
FY8 4	335659	428332
FY8 5	336633	427358
FY8 9	332069	428575
FY8	333963	428701
FY	332901	437258
G1 1	259553	665250
G1 2	259169	665566
G1 3	259115	665400
G1 4	259006	664975
G1 5	259627	664771
G1 9	259811	666213
G1	259380	665231
G11 5	255963	666822
G11 6	255524	666504
G11 7	254941	667157
G11 9	255097	667162
G11	255367	666906
G12 0	255771	668333
G12 8	256975	667023
G12 9	255986	667379
G12	256171	667642
G13 1	254341	668789
G13 2	253815	669750
G13 3	252854	669056
G13 4	251714	669373
G13 9	253086	668418
G13	253270	669194
G14 0	252492	667919
G14 9	253484	667638
G14	253043	667763
G15 6	252465	670378
G15 7	252508	671444
G15 8	251458	671406
G15	252195	670990
G2 1	259079	665589
G2 2	258925	665731
G2 3	258715	665896
G2 4	258496	665830
G2 5	258852	665649
G2 6	258778	665432
G2 7	258443	665421
G2 8	258739	665199
G2 9	259499	665633
G2	258893	665621
G20 0	256609	669418
G20 2	256940	668806
G20 6	257691	667297
G20 7	258100	667296
G20 8	256915	668242
G20 9	257606	668503
G20	257307	668222
G21 1	260237	667569
G21 2	261156	666389
G21 3	261816	668452
G21 4	261202	667627
G21	261199	667592
G22 5	259001	667736
G22 6	259192	668586
G22 7	259509	669555
G22 9	259580	668172
G22	259247	668643
G23 5	257228	670063
G23	257228	670063
G3 6	258085	666292
G3 7	257552	665969
G3 8	257216	665744
G3 9	259811	666213
G3	257721	665984
G31 1	261270	664910
G31 2	261182	665324
G31 3	261824	665492
G31 4	262440	663941
G31 5	262949	664213
G31 9	260892	664387
G31	261813	664859
G32 0	265414	664473
G32 2	264048	664013
G32 6	263668	665038
G32 7	264136	663998
G32 8	264370	662600
G32 9	265374	663487
G32	264562	663843
G33 1	263163	667942
G33 2	263096	665889
G33 3	264391	665926
G33 4	266312	665060
G33 5	265582	666714
G33 6	265772	668288
G33 9	263405	665795
G33	264585	666619
G34 0	268530	665930
G34 9	267421	665867
G34	267968	665898
G4 0	259684	665795
G4 7	259811	666213
G4 9	258291	666692
G4	259093	666197
G40 1	260476	663916
G40 2	260626	664490
G40 3	261387	663752
G40 4	261080	663326
G40 9	260892	664387
G40	260896	663922
G41 1	257764	663839
G41 2	257692	662884
G41 3	257088	661855
G41 4	256649	662853
G41 5	256485	663632
G41	257051	662854
G42 0	259808	661912
G42 2	258332	663160
G42 7	258694	662912
G42 8	258496	662496
G42 9	258323	661482
G42	258691	662201
G43 1	255967	660957
G43 2	256980	660549
G43	256581	660710
G44 3	257880	659525
G44 4	258912	660966
G44 5	259534	660146
G44 9	257827	660016
G44	258705	660197
G45 0	260878	659284
G45 9	259784	659034
G45	260149	659117
G46 6	256334	658796
G46 7	255378	659053
G46 8	254422	659591
G46 9	255854	658901
G46	255454	659113
G5 0	259553	663679
G5 8	258189	664383
G5 9	258814	664159
G5	259012	663981
G51 1	256568	664558
G51 2	255782	664939
G51 3	254999	665430
G51 4	253974	665413
G51 9	256068	664962
G51	255149	665135
G52 1	254328	663562
G52 2	252761	664337
G52 3	252857	663626
G52 4	251745	665083
G52 9	251508	665167
G52	252932	664142
G53 5	253019	662363
G53 6	252885	660799
G53 7	252378	660632
G53 9	253052	661487
G53	252712	661232
G58 1	259416	665617
G58	259416	665617
G60 5	246528	672746
G60 9	249969	670437
G60	246740	672604
G61 1	254239	670766
G61 2	255256	671533
G61 3	254590	672810
G61 4	253314	672797
G61 9	255079	672047
G61	254387	671989
G62 6	255650	674013
G62 7	254424	674858
G62 8	255634	675047
G62 9	255220	674366
G62	255122	674617
G63 0	251912	688733
G63 9	253771	682412
G63	252767	685824
G64 1	261946	670009
G64 2	261074	670522
G64 3	260998	671400
G64 4	261521	674135
G64 9	260948	670133
G64	261469	670902
G65 0	272466	677924
G65 5	271743	678031
G65 9	270905	677099
G65	271637	677487
G66 1	265204	673906
G66 2	266729	674184
G66 3	266896	673416
G66 4	265078	672509
G66 5	265950	671461
G66 7	262552	677990
G66 8	265309	676513
G66 9	265418	673265
G66	265496	674082
G67 1	275616	674502
G67 2	276532	674757
G67 3	278185	675798
G67 4	273974	672885
G67 9	276234	674986
G67	276018	674440
G68 0	275570	676497
G68 9	273238	674091
G68	274270	675155
G69 0	269766	670815
G69 1	267741	663976
G69 6	267722	664356
G69 7	268406	663849
G69 8	269604	668284
G69 9	268321	669683
G69	268587	666619
G70 5	275543	674439
G70 6	276004	674804
G70	275773	674621
G71 5	270952	661798
G71 6	270199	661375
G71 7	269226	660972
G71 8	270358	658892
G71 9	269568	660446
G71	270158	660672
G72 0	268798	656594
G72 6	266779	660715
G72 7	265274	660365
G72 8	264458	659733
G72 9	268382	657945
G72	266638	658746
G73 1	261288	661978
G73 2	261011	661207
G73 3	262168	661089
G73 4	261679	659780
G73 5	262755	659554
G73 9	262336	662015
G73	261810	660713
G74 1	262931	654410
G74 2	264889	654013
G74 3	265086	655402
G74 4	263218	655330
G74 5	260393	654846
G74 9	263521	654141
G74	263665	654954
G75 0	263535	653019
G75 8	261334	653473
G75 9	262089	652320
G75	262202	653066
G76 0	257134	652482
G76 6	257328	657434
G76 7	256851	657295
G76 8	257773	656946
G76 9	259970	657203
G76	257521	656161
G77 5	254726	655631
G77 6	253157	656026
G77 9	253774	655783
G77	253893	655839
G78 1	249950	659386
G78 2	250527	658405
G78 3	247360	656867
G78 4	243149	655271
G78 9	249778	659026
G78	248985	658141
G79 1	260640	655312
G79	260640	655312
G81 1	250417	669757
G81 2	250337	670862
G81 3	249180	671659
G81 4	248158	671593
G81 5	250434	673118
G81 6	249239	672907
G81	249616	671559
G82 1	240220	675110
G82 2	240839	675479
G82 3	240886	676384
G82 4	238806	676849
G82 5	236019	677094
G82 9	240936	675713
G82	239354	676182
G83 0	238933	680527
G83 3	239319	680902
G83 7	231008	704957
G83 8	239533	683085
G83 9	239973	679558
G83	238841	682936
G84 0	223959	685727
G84 4	229491	682415
G84 7	230582	682167
G84 8	228242	683416
G84 9	230085	683249
G84	228334	683551
G9 2	259811	666213
G9 6	259811	666213
G9	259811	666213
G90 8	259870	666252
G90	259870	666252
G	257929	666351
GL1 1	383166	218065
GL1 2	383124	218751
GL1 3	383803	218807
GL1 4	383909	217539
GL1 5	382895	216841
GL1	383406	217947
GL10 2	380652	205439
GL10 3	380229	204802
GL10	380390	205044
GL11 4	375699	198133
GL11 5	375912	199890
GL11 6	374059	198640
GL11	375394	199045
GL12 7	375999	193006
GL12 8	371054	190897
GL12	373322	191864
GL13 9	368287	199470
GL13	368287	199470
GL14 1	370347	212746
GL14 2	365635	213833
GL14 3	365795	212993
GL14 9	365770	213944
GL14	367025	213308
GL15 4	364072	206684
GL15 5	363590	203205
GL15 6	358915	203551
GL15 9	362962	201793
GL15	361968	204405
GL16 7	358428	211716
GL16 8	357318	210253
GL16 9	357449	210567
GL16	357854	210970
GL17 0	367214	218677
GL17 9	362399	216827
GL17	365002	217827
GL18 1	372010	225878
GL18 2	369871	231612
GL18	371545	227124
GL19 3	376525	226315
GL19 4	384677	228640
GL19	380200	227363
GL2 0	385333	219445
GL2 2	381568	213513
GL2 3	378144	214255
GL2 4	380399	213934
GL2 5	381936	216412
GL2 7	375350	207369
GL2 8	379035	219758
GL2 9	384467	220977
GL2	381460	216213
GL20 5	389522	232604
GL20 6	388102	236179
GL20 7	392510	234531
GL20 8	392464	233652
GL20 9	390148	232966
GL20	390998	233790
GL3 1	386485	221063
GL3 2	387855	220127
GL3 3	387050	217373
GL3 4	389109	216206
GL3	387790	218348
GL4 0	382658	214565
GL4 3	385333	217518
GL4 4	385373	216542
GL4 5	386067	216041
GL4 6	384624	215842
GL4 8	387966	214186
GL4	384903	215779
GL5 1	385725	205399
GL5 2	386238	203365
GL5 3	384397	204609
GL5 4	383321	205421
GL5 5	384301	202601
GL5	384853	204434
GL50 1	394791	222179
GL50 2	394134	221480
GL50 3	394420	222529
GL50 4	394706	223470
GL50 9	394500	222888
GL50	394463	222444
GL51 0	391881	223283
